广东汕头,#genre#
Skysports Cricket,http://tv.ilovest.xyz/Smart.php?id=tiankongcricket
Skysports EPL,http://tv.ilovest.xyz/Smart.php?id=tiankongepl
Skysports Main Event,http://tv.ilovest.xyz/Smart.php?id=tiankongmain
Skysports News,http://tv.ilovest.xyz/Smart.php?id=tiankongnews
Skysports Mix,http://tv.ilovest.xyz/Smart.php?id=tiankongmix
爱尔达体育2台,http://tv.ilovest.xyz/Smart.php?id=eltasport2_twn
爱尔达体育3台,http://tv.ilovest.xyz/Smart.php?id=eltasport3_twn
Rugby Pass TV,http://tv.ilovest.xyz/Smart.php?id=Rugbypasstv
RTM Sports HD,http://tv.ilovest.xyz/Smart.php?id=Rtmsport
Arena,http://tv.ilovest.xyz/Smart.php?id=Arena
Arena 2,http://tv.ilovest.xyz/Smart.php?id=Arena2
BolaArena 1,http://tv.ilovest.xyz/Smart.php?id=Bolaarena1
BolaArena 2,http://tv.ilovest.xyz/Smart.php?id=Bolaarena2
Astro Beinsports 1,http://tv.ilovest.xyz/Smart.php?id=Astrobein1
Astro Beinsports 2,http://tv.ilovest.xyz/Smart.php?id=Astrobein2
Astro Beinsports 3,http://tv.ilovest.xyz/Smart.php?id=Astrobein3

纪录频道,#genre#
Natgeo_HD,http://tv.ilovest.xyz/Smart.php?id=natgeohd_twn
NatGeo_Wild HD,http://tv.ilovest.xyz/Smart.php?id=natgeowild_twn
Animal_Planet,http://tv.ilovest.xyz/Smart.php?id=animalplanet_twn
Discovery Asia,http://tv.ilovest.xyz/Smart.php?id=discoverytwn_twn
CI,http://tv.ilovest.xyz/Smart.php?id=ci_twn
Discovery HD,http://tv.ilovest.xyz/Smart.php?id=discoveryhd_twn
NatGeo HD,http://tv.ilovest.xyz/Smart.php?id=Natgeo
Fashion TV,http://tv.ilovest.xyz/Smart.php?id=fashiontv_twn
History,http://tv.ilovest.xyz/Smart.php?id=History
BBC Earth HD,http://tv.ilovest.xyz/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://tv.ilovest.xyz/Smart.php?id=bbclifestyle_twn
NatGeo Wild HD,http://tv.ilovest.xyz/Smart.php?id=Natgeowild
Animal Planet (Eng),http://tv.ilovest.xyz/Smart.php?id=AnimalPlanet
TLC,http://tv.ilovest.xyz/Smart.php?id=Tlc
Foodnetwork Hd,http://tv.ilovest.xyz/Smart.php?id=Foodnetwork
HGTV,http://tv.ilovest.xyz/Smart.php?id=HGTV

儿童频道,#genre#
Baby TV Eng,http://tv.ilovest.xyz/Smart.php?id=Babytv
CBeebies,http://tv.ilovest.xyz/Smart.php?id=Cbeebies
Kids TV,http://tv.ilovest.xyz/Smart.php?id=KidsTV
Momo TV,http://tv.ilovest.xyz/Smart.php?id=momo1_twn
Baby TV,http://tv.ilovest.xyz/Smart.php?id=babytv_twn
MiaoMi,http://tv.ilovest.xyz/Smart.php?id=MiaoMi
Cartoon Network,http://tv.ilovest.xyz/Smart.php?id=Cn
Nickelodeon,http://tv.ilovest.xyz/Smart.php?id=Nickelodeon
Nick Jr,http://tv.ilovest.xyz/Smart.php?id=Nickjr
